reviews,sentiment
good experience special thanks narmita taking care room dining food good work punctual atul taking time assisted internet facility virender welcome assistance staff courteous prompt punctual attending everything need good experience food nice overall pleasant stay recommend anyone visiting like stay heart city thank namrata atul virender welcome assistance team,Positive
expect royal experience place see crowd 200 people waiting check separate checkin room ok restaurant crowded poor sitting facility wait 45 minute order welcome garland drink called heritage tour average payment better go lake udaipur royal experience,Positive
room sea view though lower floor requested higher one view great nevertheless architect somewhat conventional though sea view window floor ceiling best effect otherwise room great room service house keeping perfect expected great staff cheerful well trained definitely coming back,Positive
booked tower upgraded due inner circle member thanks mesmerizing building inside hospitality room world experience wanted make coffee hot water kettle licking way handle person floor one mr rajesh well never felt like complaining time replaced cleaned mess prepared coffee small gesture cooled little mess happened minute experience sea lounge evening morning breakfast also hospitable,Negative
amazing went family dine indian restaurant ambiance food spectacular tried broccoli starter mouthwatering main course special pulao world special thanks chef behind make amazing food worth spending afternoon thank,Positive
room service could faster complained assumed staff low owing covid compared staff guest enormous ordered food room long wait time restaurant food came time cutlery took 30 min come leading food becoming cold,Negative
room image everywhere including website incorrect put common picture mixed club luxury grande deluxe room booked club room thinking extended seating area website image apparently even brand like isnt maintaining updated exact match image room type website least could expect spread breakfast small handful option dont expect much sea lounge go high tea 56 dish price buffet make choice accordingly view superb sea lounge,Positive
bought sea view room iconic disappoint room fantastic highly comfy bed course food breakfast dinner delicious worth penny paid,Positive
hotelits come lot historyand experience 1 wonderful view gateway 2 10 min walk beautiful colaba causeway 3 dont miss cocktail harbor bar 4 breakfast sea lounge experience 5 room wing come old world english architecture lot wood work let open windowswhat view visiting 1n wing worth price,Positive
extremely comfortable stay can't say food meal shamiana partly good partly nothing write home particularly vegetarian food interested art antique virtually treasure trove original painting amruta shergil self portrait f husain ming satsuma vas really art gallery go experience stay sea facing room old nothing beat,Positive
